sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
11,1,Education,,Ronald,Saint Fort,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
12,1,Exploit,,Sarah Lynn,Saintilus,https://www.trendmicro.com/vinfo/us/security/definition/exploit,An exploit is a code that takes advantage of a software vulnerability or security flaw,,,,,,,,,,,,,,,,,,,
13,1,Exposure,,Luis,Tuapante,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
14,1,Espionage,,Colleen M,Turner,https://www.vmware.com/topics/glossary/content/cyber-espionage,"Cyber espionage is a form of cyber attack that steals classified, sensitive data or intellectual property to gain an advantage over a competitive company or government entity",,,,,,,,,,,,,,,,,,,
15,1,Hardware,,Abdullah,Walayat,"https://www.cisecurity.org/spotlight/cybersecurity-spotlight-hardware-software-and-firmware/#:~:text=Hardware%20includes%20the%20physical%20components,of%20inputs%20from%20the%20user.&text=Software%3A%20Internet%20browsers%2C%20operating%20systems%20(OS)%2C%20and%20antivirus","Hardware includes the physical components of a computer system, which may wear out over time and require replacement. Software includes sets of instructions that allow a variety of inputs from the user.",,,,,,,,,,,,,,,,,,,
16,1,Integrity,,Johnathan,Waterman,"https://smarteyetechnology.com/confidentiality-integrity-availability-basics-of-information-security/#:~:text=In%20the%20world%20of%20information,misused%20by%20an%20unauthorized%20party.&text=Some%20security%20controls%20designed%20to,Encryption",Integrity refers to how accurate and trustworthy the data is over its enitre life cycle.,,,,,,,,,,,,,,,,,,,
17,1,Loss,,Zaida,Wilson,Pg 13 from class Ebook,"a single instance of an information asset suffering damage or destruction, unintended, or unauthorized modification or disclosure, or denial of use.",,,,,,,,,,,,,,,,,,,
18,1,Network,,Homan,Wong,https://www.computerhope.com/jargon/n/network.htm,"A network is a collection of computers, servers, mainframes, network devices, peripherals, or other devices connected to one another to allow the sharing of data",,,,,,,,,,,,,,,,,,,
19,1,Policy,,Temitope,Balogun,https://www.techopedia.com/definition/4099/security-policy,"A security policy is a written document in an organization outlining how to protect the organization from threats, including computer security threats, and how to handle situations when they do occur.",,,,,,,,,,,,,,,,,,,
20,1,Procedures,,Jui,Begum,enter reference URL here,"A procedure is a set sequence of necessary activities that performs a specific task or function. Procedures are normally designed as a series of steps to be followed as a consistent and repetitive approach or cycle to accomplish an end result.
",,,,,,,,,,,,,,,,,,,
21,1,Process,,Robyn,Cabrera,https://techterms.com/definition/process,"Process is a program that is running on a computer. Process can also be used as a verb, which means to perform a series of operations on a set of data.",,,,,,,,,,,,,,,,,,,
22,1,Protection Profile,"""Security Posture",Jaber M,Galib,https://searchsecurity.techtarget.com/definition/security-posture,"Security posture refers to an organization's overall cybersecurity strength and how well it can predict, prevent and respond to ever-changing cyberthreats.",,,,,,,,,,,,,,,,,,,
23,1,Physical Infrastructure,,Lauwens S,Joseph,"https://www.igi-global.com/dictionary/foreign-direct-investment-opportunities-in-infrastructure-development/59162#:~:text=Physical%20infrastructure%20refers%20to%20the,sewerage%20and%20waste%20disposal%20systems.","The physical structure needed by an economy to survive and function properly, things like our transit system or our waste disposal system, all these allow are economy to thrive and function.",,,,,,,,,,,,,,,,,,,
24,1,Radiation,,Vladyslav,Kalaida,https://www.computerweekly.com/news/450423382/Radiation-detection-devices-open-to-cyber-attack-researcher-finds,"Radiation detection devices open to cyber attack, researcher finds.Attackers could, for example, falsify readings to simulate a radiation leak to trick authorities into ordering unnecessary evacuations...",,,,,,,,,,,,,,,,,,,
25,1,Risk,,Jie Yuan,Lou,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
26,1,Sabotage,,Subrina,Mahmood,https://www.sciencedirect.com/topics/social-sciences/sabotage,"Sabotage can be considered violence against technology rather than against people. It includes actions such as putting sand in a tractor’s fuel tank, programming a bug into a computer system, and putting spikes in trees that will wreck a sawmill blade",,,,,,,,,,,,,,,,,,,
27,1,Software,,Jeffrey,Mendez,https://www.google.com/search?q=define+software&client=firefox-b-1-d&ei=G9S3YOT_E9HM_AbnrbjAAw&oq=define+software&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAELEDMgIIADICCAAyAggAOgcIABBHELADOgcIABCwAxBDOgkIABBDEEYQ-QE6BAgAEEM6CAgAELEDEIMBOgUIABCRAlDn6AxY3oYNYOCIDWgBcAJ4AIABVogB6gmSAQIxOJgBAKABAaoBB2d3cy13aXrIAQrAAQE&sclient=gws-wiz&ved=0ahUKEwik-feB0PnwAhVRJt8KHecWDjgQ4dUDCA0&uact=5, The programs and other operating infromation used by a computer.,,,,,,,,,,,,,,,,,,,
28,1,Storage,"""At-rest""",Raul,Miranda,https://www.webopedia.com/definitions/data-at-rest/,Storage At-Rest is one of the three states of data (the other two being In Transit and In Use.) The data stored in this state is not moving in the network or being used. It is prone to attacks by malicious actors.,,,,,,,,,,,,,,,,,,,
29,1,Subject of Attack,"""Object of Attack""",Ronald,Saint Fort,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
30,1,Technology,,Sarah Lynn,Saintilus,https://www.britannica.com/technology/technology,"Technology, the application of scientific knowledge to the practical aims of human life or, as it is sometimes phrased, to the change and manipulation of the human environment.",,,,,,,,,,,,,,,,,,,
31,1,Threat,,Luis,Tuapante,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
32,1,Threat Actor,,Colleen M,Turner,"https://www.cisecurity.org/spotlight/cybersecurity-spotlight-cyber-threat-actors/#:~:text=A%20Cyber%20Threat%20Actor%20(CTA,devices%2C%20systems%2C%20or%20networks.","A Cyber Threat Actor (CTA) is a participant (person or group) in an action or process that is characterized by malice or hostile action (intending harm) using computers, devices, systems, or networks.",,,,,,,,,,,,,,,,,,,
33,1,Threat Agent,,Abdullah,Walayat,"https://www.hypr.com/threat-agent/#:~:text=A%20Threat%20Actor%20or%20Threat,about%2C%20harm%20to%20an%20organization.&text=Threat%20actors%20can%20be%20persons,referred%20to%20as%20malicious%20actors.","Threat Agent is a party that is responsible for, or attempts to bring about, harm to an organization.",,,,,,,,,,,,,,,,,,,
34,1,Threat Event ,,Johnathan,Waterman,"https://csrc.nist.gov/glossary/term/threat_event#:~:text=An%20event%20or%20situation%20that,causing%20undesirable%20consequences%20or%20impact.","A threat event is an unforseen problem or situation, that has the potentail to negatively impact your computer.",,,,,,,,,,,,,,,,,,,
35,1,Threat Source,,Zaida,Wilson,Pg 14 from class Ebook,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
36,1,Vulnerability,,Homan,Wong,https://www.upguard.com/blog/vulnerability,a vulnerability is a weakness that can be exploited by cybercriminals to gain unauthorized access to a computer system,,,,,,,,,,,,,,,,,,,
41,1,Safeguard,"""Control""",Subrina,Mahmood,"https://www.oreilly.com/library/view/sscp-systems-security/9780071771566/lev219.html#:~:text=The%20terms%20controls%2C%20safeguards%2C%20and,a%20vulnerability%20in%20a%20system.","The terms controls, safeguards, and countermeasures are often used interchangeably. In essence, they are means, methods, actions, techniques, processes, procedures, or devices that reduce the vulnerability of a system or the possibility of a threat exploiting a vulnerability in a system.",,,,,,,,,,,,,,,,,,,
42,1,Countermeasure,"""Control""",Subrina,Mahmood,"https://www.oreilly.com/library/view/sscp-systems-security/9780071771566/lev219.html#:~:text=The%20terms%20controls%2C%20safeguards%2C%20and,a%20vulnerability%20in%20a%20system.","The terms controls, safeguards, and countermeasures are often used interchangeably. In essence, they are means, methods, actions, techniques, processes, procedures, or devices that reduce the vulnerability of a system or the possibility of a threat exploiting a vulnerability in a system.",,,,,,,,,,,,,,,,,,,
43,1,Security Posture,"""Protection Profile""",Jaber M,Galib,https://searchsecurity.techtarget.com/definition/security-posture,"Security posture refers to an organization's overall cybersecurity strength and how well it can predict, prevent and respond to ever-changing cyberthreats.",,,,,,,,,,,,,,,,,,,
44,1,Object of Attack,"""Subject of Attack""",Ronald,Saint Fort,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
45,1,At-rest,"""Storage""",Raul,Miranda,https://www.webopedia.com/definitions/data-at-rest/,Storage At-Rest is one of the three states of data (the other two being In Transit and In Use.) The data stored in this state is not moving in the network or being used. It is prone to attacks by malicious actors.,,,,,,,,,,,,,,,,,,,
46,1,Accuracy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attribute of information that describes how data is free of errors and has the value that the user expects.,,,,,,,,,,,,,,,,,,,
47,1,Availability,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attribute of information that describes how data is accessible and correctly formatted for use without interference or obstruction.,,,,,,,,,,,,,,,,,,,
48,1,Bottom-up Approach,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An ineffective method of establishing security policies that begins as a grassroots effort in which systems administrators attempt to improve the security of their systems.,,,,,,,,,,,,,,,,,,,
49,1,C.I.A. Triad,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The industry standard for computer security since the development of the mainframe. The standard is based on three characteristics that describe the utility of information: confidentiality, integrity, and availability.",,,,,,,,,,,,,,,,,,,
50,1,Chief Information Officer (CIO),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An executive-level position that oversees the organization’s computing technology and strives to create efficiency in the processing and access of the organization’s information.,,,,,,,,,,,,,,,,,,,
51,1,Chief Information Security Officer (CISO),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Typically considered the top information security officer in an organization. The CISO is usually not an executive-level position, and frequently the person in this role reports to the CIO.",,,,,,,,,,,,,,,,,,,
52,1,Communications Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The protection of all communications media, technology, and content.",,,,,,,,,,,,,,,,,,,
53,1,Community of Interest,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A group of people who are united by similar interests or values within an organization and who share a common goal of helping the organization to meet its objectives.,,,,,,,,,,,,,,,,,,,
54,1,Computer Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In the early days of computers, this term specified the need to secure the physical location of computer technology from outside threats. This term later came to represent all actions taken to preserve computer systems from losses. It has evolved into the current concept of information security as the scope of protecting information in an organization has expanded.",,,,,,,,,,,,,,,,,,,
55,1,Data Custodians,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","People who are responsible for the storage, maintenance, and protection of the information.",,,,,,,,,,,,,,,,,,,
56,1,Data Owners,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Individuals who control, and are therefore responsible for, the security and use of a particular set of information; data owners may rely on custodians for the practical aspects of protecting their information, specifying which users are authorized to access it, but they are ultimately responsible for it.",,,,,,,,,,,,,,,,,,,
57,1,Data Users,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",People who work with the information to perform their daily jobs and support the mission of the organization.,,,,,,,,,,,,,,,,,,,
58,1,Information Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Protection of the confidentiality, integrity and availability of information assets, whether in storage, processing or transmission, via the application of policy, education, training and awareness, and technology.",,,,,,,,,,,,,,,,,,,
59,1,Information System (IS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The entire set of software, hardware, data, people, procedures, and networks that enable the use of information resources in the organization.",,,,,,,,,,,,,,,,,,,
60,1,McCumber Cube,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A graphical representation of the architectural approach widely used in computer and information security; commonly shown as a cube of 3x3x3 cells, similar to a Rubik’s Cube.",,,,,,,,,,,,,,,,,,,
61,1,Methodology,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A formal approach to solving a problem by means of a structured sequence of procedures.,,,,,,,,,,,,,,,,,,,
62,1,Network Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A subset of communications security; the protection of voice and data networking components, connections, and content.",,,,,,,,,,,,,,,,,,,
63,1,Personally Identifiable Information (PII),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A set of information that could uniquely identify an individual.,,,,,,,,,,,,,,,,,,,
64,1,Physical Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The protection of physical items, objects, or areas from unauthorized access and misuse.",,,,,,,,,,,,,,,,,,,
65,1,Possession,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attribute of information that describes how the data’s ownership or control is legitimate or authorized.,,,,,,,,,,,,,,,,,,,
66,1,Project Team,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A small functional team of people who are experienced in one or more multiple facets of the required technical and nontechnical areas for the project to which they are assigned.,,,,,,,,,,,,,,,,,,,
67,1,Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A state of being secure and free from danger or harm. Also, the actions taken to make someone or something secure.",,,,,,,,,,,,,,,,,,,
68,1,Software Assurance (SA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A methodological approach to the development of software that seeks to build security into the development life cycle rather than address it at later stages. SA attempts to intentionally create software free of vulnerabilities and provide effective, efficient software that users can deploy with confidence.",,,,,,,,,,,,,,,,,,,
69,1,Systems Development Life Cycle (SDLC),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A methodology for the design and implementation of an information system.,,,,,,,,,,,,,,,,,,,
70,1,Top-down Approach,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A methodology of establishing security policies that is initiated by upper management.,,,,,,,,,,,,,,,,,,,
71,1,Utility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attribute of information that describes how data has value or usefulness for an end purpose.,,,,,,,,,,,,,,,,,,,
72,1,Waterfall Model,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A type of SDLC in which each phase of the process “flows from” the information gained from the previous phase, with multiple opportunities to return to previous phases and make adjustments.",,,,,,,,,,,,,,,,,,,
73,2,10.4 password rule,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An industry recommendation for password structure and strength that specifies passwords should be at least 10 characters long and contain at least one uppercase letter, one lowercase letter, one number, and one special character",,,,,,,,,,,,,,,,,,,
74,2,Advance-fee fraud (AFF),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A form of social engineering, typically conducted via e-mail, in which an organization or some third party indicates that the recipient is due an exorbitant amount of money and needs only a small advance fee or personal banking information to facilitate the transfer.",,,,,,,,,,,,,,,,,,,
75,2,Adware,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Malware intended to provided undesired marketing and advertising, including popups and banners on a user’s screen.",,,,,,,,,,,,,,,,,,,
76,2,Attack,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An intentional or unintentional act that can damage or otherwise compromise information and the systems that support it.,,,,,,,,,,,,,,,,,,,
77,2,Availability Disruption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An interruption of service, usually from a service provider, which causes an adverse event within an organization.",,,,,,,,,,,,,,,,,,,
78,2,Back Door,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A malware payload that provides access to a system by bypassing normal access controls.,,,,,,,,,,,,,,,,,,,
79,2,Blackout,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A long-term interruption (outrage) in electrical power availability.,,,,,,,,,,,,,,,,,,,
80,2,Boot Virus,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Also known as a boot sector virus, a type of virus that targets the boot sector or Master Boot Record (MBR) of a computer system’s hard drive or removable storage media.",,,,,,,,,,,,,,,,,,,
81,2,Bot,"""Zombie""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An abbreviation of robot; an automated software program that executes certain commands when it receives a specific input. See also Zombie.,,,,,,,,,,,,,,,,,,,
82,2,Brownout,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A long-term decrease in electrical power availability.,,,,,,,,,,,,,,,,,,,
83,2,Brute Force Password Attack,"""Brute Force Attack""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attempt to guess a password by attempting every possible combination of characters and numbers in it.,,,,,,,,,,,,,,,,,,,
84,2,Buffer Overrun,"""Buffer Overflow""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An application error that occurs when more data is sent to a program buffer than it is designed to handle.,,,,,,,,,,,,,,,,,,,
85,2,Command Injection,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An application error that occurs when user input is passed directly to a compiler or interpreter without screening for content that may disrupt or compromise the intended function.,,,,,,,,,,,,,,,,,,,
86,2,Competitive Intelligence,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The collection and analysis of information about an organization’s business competitors through legal and ethical means to gain business intelligence and competitive advantage.,,,,,,,,,,,,,,,,,,,
87,2,Cracker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker who intentionally removes or bypasses software copyright protection designed to prevent unauthorized duplication or use.,,,,,,,,,,,,,,,,,,,
88,2,Cracking,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Attempting to reverse-engineer, remove, or bypass a password or other access control protection, such as the copyright protection on software. See Cracker.",,,,,,,,,,,,,,,,,,,
89,2,Cross Site Scripting (XSS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A web application fault that occurs when an application running on a Web server inserts commands into a user’s browser session and causes information to be sent to a hostile server.,,,,,,,,,,,,,,,,,,,
90,2,Cyberactivist,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Hacktivist.,,,,,,,,,,,,,,,,,,,
91,2,Cyberterrorist,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker who attacks systems to conduct terrorist activities via networks or internet pathways.,,,,,,,,,,,,,,,,,,,
92,2,Cyberwarfare,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Formally sanctioned offensive operations conducted by a government or state against information or systems of another government or state.,,,,,,,,,,,,,,,,,,,
93,2,Data,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Items of fact collected by an organization.,,,,,,,,,,,,,,,,,,,
94,2,Data Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Commonly used as a surrogate for information security, data security is the focus of protecting data or information in its various states-at rest (in storage), in processing, and in transmission (over networks).",,,,,,,,,,,,,,,,,,,
95,2,Database,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A collection of related data stored in a structured form and usually managed by a database management system.,,,,,,,,,,,,,,,,,,,
96,2,Database Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A subset of information security that focuses on the assessment and protection of information stored in data repositories like database management systems and storage media.,,,,,,,,,,,,,,,,,,,
97,2,Denial-of-service (DoS) Attack,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An attack that attempts to overwhelm a computer target’s ability to handle incoming communications, prohibiting legitimate users from accessing those systems.",,,,,,,,,,,,,,,,,,,
98,2,Dictionary Password Attack,"""Dictionary Attack""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A variation of the brute force attack that attempts to narrow the range of possible passwords guessed by using a list of common passwords  and possibly including attempts based on the target’s personal information.,,,,,,,,,,,,,,,,,,,
99,2,Distributed Denial-of-Service (DDoS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A form of DoS attack in which a coordinated stream of requests is launched against a target from many locations at the same time using bots or zombies.,,,,,,,,,,,,,,,,,,,
100,2,Domain Name System (DNS) Cache Poisoning,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The intentional hacking and modification of a DNS database to redirect legitimate traffic to illegitimate Internet locations.,,,,,,,,,,,,,,,,,,,
101,2,Downtime,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The percentage of time a particular service is not available; the opposite of uptime.,,,,,,,,,,,,,,,,,,,
102,2,Expert Hacker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker who uses extensive knowledge of the inner workings of computer hardware and software to gain unauthorized access to systems and information.,,,,,,,,,,,,,,,,,,,
103,2,Exploit,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A technique used to compromise a system.,,,,,,,,,,,,,,,,,,,
104,2,Fault,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A short-term interruption in electrical power availability.,,,,,,,,,,,,,,,,,,,
